,Kalimat,Label
0,san unboxing indosat kalah kemenakan prabowo unboxing mesin atm wkwk,1
1,å å goblok beli indosat ada untungnya jaringan super lemot papua ada jaringannya mentok pikir pakai otak beli saham telkomsel singtel,3
2,mengotot beli saham indosat presiden ada ya menguntungkan sandi pengusaha uangnya beli indosat bisnisnya ayo logika pakai dana negara negara rugi untung makelar,1
3,buyback isat sehat diminum obatnya sinyal lelet paket data omong doang hutang triliunan coba kau pikirkan adolfo,1
4,percaya sandiaga uno jokowi percaya ôøω,1
5,haha lucu harga rupiah triliun sajs ooredoo qatar nilai indosat rendah desember modal indosat rupiah triliun hutang bejibun rupiah triliun ooredoo qatar jual rugi,1
6,jual indosat beli ôøω,1
7,beli indosat sinyal lelet enggak jelas wkwk,1
8,sandi bilang diusahakan lupa sandi ahli mensehatkan perusahaan di awal bisnisnya milyuner,1
9,uang rakyat pakai belu perushan sehat uang triliunan' dipakai coba,1
10,oke mengoceh bayar pakai kardus membeli saham prioritas mengancam keamanan nasional urgensinya dikemukakan logis dibeli membeli sahan freeport logis üòâ üòâ,1
11,oke oke kabare uang muka progress kah,1
12,be pintar feasible buy back indosat materi pemilihan presiden doang,1
13,indosat buyback indosata menguasai slot satelit antariksa slot satelit dikuasai negara dimanfatiin telkom posisi indosat operator teleppon seluler itupun kalah xl satelit palapa dikuasai indosat uzur kebutuah telekomunikasi disediakan telkom å ada buyback indosat,1
14,bro oke mengoceh panik biar survei internalnya üòâ üòñ,1
15,jual indosat nya tanggung,1
16,ditempatku pluit bintaro telkomsel lelet,1
17,dipertanggungjawabkan majelis permusyawaratan rakyat dapur no complain,1
18,janji terpenuhi jokowi dipenuhi prabowo sandi jokowi dicap ingkar janji,1
19,mandala ya sandiwara uno habis beli tutup bangkrut,1
20,bantuan likuiditas bank indonesia bang sandi ujung ujungnya oknum kantongi profit,1
21,korupsi ya negara be hancur,1
22,woi benefitnya ada cari muka dikorupsikah duitnya,1
23, beli satelit komunikaai satelit militer tentara nasional indonesia ôøω,1
24,beli perusahaan ambruk mending bikin canggih sumber utamanya kompetisinya software hardware jadul,1
25,dibeli ada rugi dibeli rugi uang rakyat san,1
26,uangnya darimana bos janji bejibun iya disupport anggaran pendapatan dan belanja negara terpilih kasih hitung an rilnya dipublish publik duitnya darimana,1
27,rakyat keuntungan buy back indosat skemanya menghibur rakyat berfaedah bisnis negara bijaksana sulit bodoh,1
28,ada pemakai indosat ya telkomsel dimana,1
29,telkomsel pindah indosat tarifnya murah sinyal bagus,1
30,pelanggan internet indosat beralih telkomsel sinyal susah,1
31,perusahaan rugi ada cuan dibeli,1
32,qpa dibeli perusahaan rugi mqu berdarah pemerintah telkomsel,1
33,lebih baik bangun infrastruktur' menambah,1
34,indosat sakit parah tunggu anjlok saham,1
35,walah sandi sembrono investor lihat performance sih indosat buy back weleh weleh,1
36,nilai saham indosat jatuh merugi dibeli ya,1
37,wkwk diusahakan tukang sayur bilang,1
38,performa kinerjanya melampaui telkomsel memaksakan dibeli gantinya freeport keuntungannya ü ü ü,1
39,biar indosat pesaing telkomsel biar telkomsel semena mena pasang harga,1
40,kualitas indosat jaringan amburadul bos papua ada sinyal indosat pikir bagamana membeli saham telkomsel singtel sahamnya telkomsel separuh dimiliki asing otak woi pikir,1
41,rakyat senang buyback indosat gimik jokowi menepati janji sanggpu buyback kenyataanya indosat layak dibeli,1
42,wacana buyback menang,1
43,indosat dijual emak nya jokowi moncong putih ada urusan bang sandi,1
44,perusahaan rugi diambil prabowo membeli patungan kiani kertas terlilit hutang,1
45,buy back dijual bisnis bang sandi,1
46,indosat jual ya presidennya,1
47,palsuuuuuuuu,1
48,jokowi memprioritaskan buy buck indosat pertimbangan matang telkomsel sehat membeli perusahaan payah menyenagkan rakyat gaya jokowi,1
49,pemilik perusahaan investasi sekelas sandi baca prospektus isat sih sahamnya bahan gorengan bandar jokowi beli ôøω nilai bagus investasikan telkom negara perusahaan bisnisnya,1
50,jokowi prioritas freeportôøω,1
51,jual beli saham' broker feenya ya,1
52,indosat jelek dibuyback adakah pesusahan profit,1
53,beli rugi,1
54,keuntungan buy back indosat,1
55,perasaan ri menambah hutang ratusan triliun dilaksanain janjinya jokowi ôøω,1
56,namanya menarik perhatian publik sasaran kiraan rakyat indonesia mudah dikibuli maaf sandi pilih paham negeri,1
57,sandi dodol jokowi buyback indosat ada perhitungan sih sandi cari suara bilang diusahakan beli,3
58,mending saham saratoga buy back habis lego kemarin modal,1
59,lebih baik perkuat telkom telkomsel,1
60,hutang' kayaknya parah,1
61,beli indosat penyedianya kalah telkomsel satelit mending beli bank rakyat indonesia satelitnya harga' ',1
62,bang sandi jagonya,1
63,ceo indosat nya mundur coba kelas sandi patut kredibilitasnya pengalaman membuktikan taksi express sandi memilikinya manajemen nya mundur serentak sandi meng geliatkan nya pemenangan kondisi taksian janji beli indosat senyum,1
64,ambil kali merugikan aduh pikir nih orang mencari simpati ôøω,1
65,,1
66,bego setuju sandi,3
