,Unnamed: 0,Kalimat,Label
0,0,san unboxing indosat kalah kemenakan prabowo unboxing mesin atm wkwk,1
1,1,å å goblok beli indosat ada untungnya jaringan super lemot papua ada jaringannya mentok pikir pakai otak beli saham telkomsel singtel,3
2,2,mengotot beli saham indosat presiden ada ya menguntungkan sandi pengusaha uangnya beli indosat bisnisnya ayo logika pakai dana negara negara rugi untung makelar,1
3,3,buyback isat sehat diminum obatnya sinyal lelet paket data omong doang hutang triliunan coba kau pikirkan adolfo,1
4,4,percaya sandiaga uno jokowi percaya ôøω,1
5,5,haha lucu harga rupiah triliun sajs ooredoo qatar nilai indosat rendah desember modal indosat rupiah triliun hutang bejibun rupiah triliun ooredoo qatar jual rugi,1
6,6,jual indosat beli ôøω,1
7,7,beli indosat sinyal lelet enggak jelas wkwk,1
8,8,sandi bilang diusahakan lupa sandi ahli mensehatkan perusahaan di awal bisnisnya milyuner,1
9,9,uang rakyat pakai belu perushan sehat uang triliunan' dipakai coba,1
10,10,oke mengoceh bayar pakai kardus membeli saham prioritas mengancam keamanan nasional urgensinya dikemukakan logis dibeli membeli sahan freeport logis üòâ üòâ,1
11,11,oke oke kabare uang muka progress kah,1
12,12,be pintar feasible buy back indosat materi pemilihan presiden doang,1
13,13,indosat buyback indosata menguasai slot satelit antariksa slot satelit dikuasai negara dimanfatiin telkom posisi indosat operator teleppon seluler itupun kalah xl satelit palapa dikuasai indosat uzur kebutuah telekomunikasi disediakan telkom å ada buyback indosat,1
14,14,bro oke mengoceh panik biar survei internalnya üòâ üòñ,1
15,15,jual indosat nya tanggung,1
16,16,ditempatku pluit bintaro telkomsel lelet,1
17,17,dipertanggungjawabkan majelis permusyawaratan rakyat dapur no complain,1
18,18,janji terpenuhi jokowi dipenuhi prabowo sandi jokowi dicap ingkar janji,1
19,19,mandala ya sandiwara uno habis beli tutup bangkrut,1
20,20,bantuan likuiditas bank indonesia bang sandi ujung ujungnya oknum kantongi profit,1
21,21,korupsi ya negara be hancur,1
22,22,woi benefitnya ada cari muka dikorupsikah duitnya,1
23,23, beli satelit komunikaai satelit militer tentara nasional indonesia ôøω,1
24,24,beli perusahaan ambruk mending bikin canggih sumber utamanya kompetisinya software hardware jadul,1
25,25,dibeli ada rugi dibeli rugi uang rakyat san,1
26,26,uangnya darimana bos janji bejibun iya disupport anggaran pendapatan dan belanja negara terpilih kasih hitung an rilnya dipublish publik duitnya darimana,1
27,27,rakyat keuntungan buy back indosat skemanya menghibur rakyat berfaedah bisnis negara bijaksana sulit bodoh,1
28,28,ada pemakai indosat ya telkomsel dimana,1
29,29,telkomsel pindah indosat tarifnya murah sinyal bagus,1
30,30,pelanggan internet indosat beralih telkomsel sinyal susah,1
31,31,perusahaan rugi ada cuan dibeli,1
32,32,qpa dibeli perusahaan rugi mqu berdarah pemerintah telkomsel,1
33,33,lebih baik bangun infrastruktur' menambah,1
34,34,indosat sakit parah tunggu anjlok saham,1
35,35,walah sandi sembrono investor lihat performance sih indosat buy back weleh weleh,1
36,36,nilai saham indosat jatuh merugi dibeli ya,1
37,37,wkwk diusahakan tukang sayur bilang,1
