,0
0,san ente aje yg unboxing indosat masa ente kalah ama kemenakan prabowo unboxing mesin atm wkwkwkwkwk
1,goblok ngapain beli indosat g ada untungnya jaringan aja super lemot di papua aja g ada jaringannya mentok2 cuma 2g harusnya pikir pakai otak bagaimana beli seluruh saham telkomsel dari singtel
2,ngotot mau beli saham indosat kok jika jd presiden ada apa ya jika menguntungkan knp sandi yg pengusaha uangnya banyak tdk beli indosat buat bisnisnya ayo logika aja knp pake dana negara negara akan rugi yg untung makelar
3,buyback isat anda sehat sdh diminum obatnya sinyal lelet paket data omdo hutang msh trilyunan coba kau pikirkan kembali adolfo
4,saya percaya kalau sama sandiaga uno tapi kalau sama jokowi 1 gak percaya
5,hahaha lucu dengan harga jauh di atas rp 9 9 triliun sajs ooredoo qatar belum tentu mau nilai indosat terlalu rendah saat ini per desember 2 18 modal indosat hanya sekitar rp 11 2 triliun dengan hutang bejibun rp 41 triliun mana mau ooredoo qatar jual rugi
6,yg jual indosat siapa yg mau beli balik siapa
7,ngapain beli indosat sinyal lelet gaje wkwkwk
8,kan sandi bilang mo diusahakan tp jgn lupa sandi itu ahli dlm mensehatkan perusahaan itulah diawal bisnisnya sampe jd milyuner skrng
9,kalo sy gak mau uang rakyat di pakai belu perushan gak sehat uang trilyunan kpq dipakai coba2
10,okeh ngoceh bayar aja pakai kerdus apa membeli saham itu prioritas mengancam keamanan nasional urgensinya perlu dikemukakan agar logis kenapa harus dibeli kembali atau tidak seperti membeli sahan freeport itu jelas logis
11,oke oce apa kabare dp progress jg kah
12,be smart emang masih feasible buat buy back indosat atau cuman buat materi pilpres 2 19 doang
13,dulu memang indosat penting sekali di buyback karena indosata menguasai slot satelit di antariksa namun sekarang slot satelit itu sudah kembali dikuasai negara dimanfatiin oleh telkom posisi indosat saat ini cuma jadi operator teleppon seluler itupun udah kalah sama xl satelit palapa yang sekarang masih dikuasai indosat juga udah uzur semua kebutuah telekomunikasi sekarng udah disediakan telkom jadi engga ada pentingnya buyback indosat
14,itu lah bro cuman okeh ngoceh aja panik sudah semakin dekat masih aja berada di bawah biar itu oleh survei internalnya sendiri
15,yg jual indosat harus nya tanggung jawab
16,wah ditempatku pluit bintaro dan sekitarnya telkomsel lelet dan mah
17,sudah dipertanggungjawabkan di depan mpr dan dpr no complain baik baik saja
18,janji2 yg blm terpenuhi oleh pak jokowi akan dipenuhi oleh prabowo sandi sehingga jokowi tidak dicap lagi ingkar janji
19,mau dibuat seperti mandala dulu ya sandiwara uno habis lu beli terus tutup krn bangkrut
20,wah cara cara blbi yang akan dipergunakan oleh bang sandi ujung ujungnya oknum yang akan kantongi profit
21,mau korupsi ya negara be hancur klo bgni
22,woi benefitnya nggak ada mau cari muka dan dikorupsikah duitnya
23,9 9t lebih baik buat beli satelit komunikaai dan satelit militer tni
24,ngapain beli perusahaan setengah ambruk mending bikin lagi yg lebih canggih kan sumber utamanya kompetisinya cuma di software sedangkan hardware kan sudah jadul
25,ngapain dibeli jk yg ada rugi trs nnt mlh dibeli yg rugi uang rakyat san
26,uangnya darimana bos buat janji2 ente yang bejibun gitu apa iya bisa disupport sm apbn semuanya klo emang ente jadi terpilih ente bisa kasih itung2an rilnya gak yg bs dipublish ke publik soal duitnya darimana ini
27,harusnya 2 juga menjelaskan ke rakyat apa keuntungan buy back indosat untuk saat ini trus bagaimana skemanya jangan hanya krn untuk menghibur rakyat malah ternyata tidak berfaedah secara bisnis bagi negara bijaksana itu memang sulit tapi janganlah sampai bodoh
28,emang masih ada pemakai indosat ya telkomsel bae dimana mana
29,saya dari telkomsel pindah ke indosat karena tarifnya lebih murah dan sinyal bagus
30,saya tadinya pelanggan internet indosat yg sudah beralih ke telkomsel krn sinyal susah
31,perusahaan lagi rugi nggak ada cuan kok dibeli
32,buat qpa dibeli perusahaan rugi mqu berdarah2 lagi toh pemerintah dah punya telkomsel
33,mendingan bangun infrastruktur 9t bisa nambah mrt 9 km lagi
34,indosat lagi sakit parah tunggu 2 3 tahun lagi pasti anjlok tuh saham
35,walah sandi sembrono katanya investor liat dulu donk performance si indosat koq mau buy back weleh weleh
36,nilai saham indosat itu kan jatuh karena merugi ngapain dibeli ya
37,wakakak akan diusahakan tukang sayur juga bisa bilang begitu
38,kalau performa kinerjanya belum bisa melampaui telkomsel ngapain maksain dibeli kan udah punya gantinya freeport yg keuntungannya jelas jauh lebih besar
39,biar aja indosat jd pesaing telkomsel biar telkomsel ga semena mena pasang harga
40,kualitas indosat jaringan amburadul bos ke papua gi sana kalau ada sinyal indosat harusnya tu pikir bagamana bisa membeli seluruh saham telkomsel dari singtel krn sahamnya telkomsel separoh masih dimiliki asing otak woi mikir
41,rakyat mana yg seneng buyback indosat dilakukan cuma buat gimik aja seolah2 jokowi ga menepati janji dan dia sanggpu buyback pdhl kenyataannya indosat ga layak dibeli kembali
42,wacana buyback krn yakin tdk mgk menang
43,indosat yang dulu dijual sama emak nya jokowi di moncong putih apa ga ada urusan lain bang sandi
44,perusahaan yang sudah rugi mau diambil lagi mirip seperti prabowo membeli pt kiani kertas yang terlilit hutang
45,buy back utk dijual lagi kan bisnis bang sandi spt itu
46,dulu indosat di jual siapa ya presidennya
47,palsuuuuuuuu
48,jokowi tdk memprioritaskan buy buck indosat tentu dgn pertimbangan matang kt sudah punya telkomsel yg jauh lbh sehat buat apa membeli perusahaan yg sedang payah hanya untuk menyenagkan rakyat itu bukan gaya jokowi
49,waduh katanya pemilik perusahaan investasi masa sekelas sandi ga baca prospektus isat sih sahamnya jadi bahan gorengan bandar makanya jokowi ga jadi beli nilai segitu jauh lebih bagus di investasikan ke telkom ngapain negara punya 2 perusahaan yg sama bisnisnya
50,jokowi prioritas ke freeport
51,kalo jual beli saham 9 9 t broker feenya berapa yah
52,indosat jelek aja dibuyback tak adakah pesusahan lain yg lebih profit
53,buat apa beli sdh rugi itu
54,keuntungan unt kita kalo buy back indosat apa
55,perasaan tiap tahun ri nambah hutang sampe ratusan trilyun ko ngga dilaksanain jg janjinya pa jokowi
56,namanya juga ingin narik perhatian publik tapi tidak tepat sasaran di kirain rakyat indonesia ini mudah dikibulin sory saja pak sandi saya tidak pilih ente karna ente kurang paham pada negeri ini
57,sandi dodol gak tanya kenapa pak jokowi masih belum buyback indosat pasti ada perhitungan dong si sandi ini cuman mo cari suara aja dia sendiri bilang diusahakan bukan pasti beli balik
58,mending saham saratoga lo buy back abis di lego kemaren buat modal
59,mendingan perkuat telkom dan telkomsel
60,belum apa2 saja sudah mau hutang 1 t bagaimana nanti kayaknya lebih parah
61,ngapain beli indosat providernya kalah jauh dari telkomsel kalau masalah satelit mending beli baru bri saja satelitnya harga 2 5 t kenapa harus keluar 9 9 t
62,kalo mslh gini bang sandi emg jagonya
63,2 ceo indosat nya saja mundur berturut turut coba kenapa kalau sampai se kelas sandi sampai nggak tahu soal itu patut dipertanyakan kredibilitasnya pengalaman membuktikan taxi express yg sandi pernah memilikinya manajemen nya saja pernah mundur serentak dan sandi nggak pernah bisa meng geliatkan nya lagi bagi pemenangan di kondisi per taksian sekarang janji mau beli indosat cuman senyum saja
64,buat apa di ambil kl merugikan aduh ga mikir nih orng jngn cm mau nyari simpati aja dong
65,bego yg setuju sandi
66,nyungsep yg setuju sama komen elu bong
67,kampret penyembah si sandiwara gemblung memang dungu bin bahluuull
68,biasa deh bo ong biar kepilih
69,mau sandi kek atau jokowi tetep jng beli isat perush udah ngap2an gtu core bisnis nya udah ga bagus org sms sekrg pake wa telpon jg pake wa nasib operator selular diujung tanduk kok malah buy back
70,hah 9 9 t hebat nya indosat apa sih kalau di beli untung nya apa mending buat satelit sendiri yg bisa buat biaya internet murah hanya karena politik aja semua cari muka
71,kenapa tidak sandi
72,9 9t duit dari hutang juga sandiwara gemblung
73,kalu jagonya hutang ya junjunganmu kui bong ha ha ha
74,jadi inget perusahaan yg meninjeksi mikroba ke sungai yg warnanya item di jakarta yg punya perusahaannya adalah asisten fz
75,ini orang mendingan maen lenong deh kerjanya sandiwara melulu
76,masalahnya indosat itu ga semenguntungkan dulu gapain maksain tepati janji jika ga menguntungkan 9 9 mending bikin satelit
77,dulu waktu untung kenapa ga di buyback sama junjunganmu bong sekarang pertumbuhan ekonomi ga tercapai baru lu ngoceh mending bikin satelit ebong mah prinsipnya labil omongannya ga bisa di pegang kayak gini mau lanjut 2periode no way ahahaha
78,janji bangun stadion sekelas old traford aja tdk dipenuhi gmn mau dipercaya
79,nonton berita mkanyo bong udah groundbreaking jgan dikolam ka
80,bung sandi harusnya tau masalahnya bukan sanggup atau ga sanggup tapi apa valuenya buat negara kl itu sangat strategis saya yakin sekarang juga dibeli
81,9 9 trilyun buat beli perusahaan rugi yang nantinya bakalan head to head sama telkom yg bener aja bos
82,perusahaan rugi kok di beli dasar bego
83,satelit indosat udah gak canggih ngapain dibeli sahamnya
84,tujuannya apa ini perusahaan rugi lebih baik investasi dibidang lain telkomsel saja diperbesar toh milik sendiri
85,masa aktif satelit indosat kapan berakhir
86,indosat rugi mau di beli
